21,16
tiledBackground
(1, 0, 0)
(1, 32, 0)
(1, 64, 0)
(1, 96, 0)
(1, 128, 0)
(1, 160, 0)
(1, 192, 0)
(1, 224, 0)
(1, 256, 0)
(1, 288, 0)
(1, 320, 0)
(1, 352, 0)
(1, 384, 0)
(1, 416, 0)
(1, 448, 0)
(1, 480, 0)
(1, 512, 0)
(1, 544, 0)
(1, 576, 0)
(1, 608, 0)
(1, 640, 0)
(1, 0, 32)
(2, 96, 32)
(2, 224, 32)
(1, 640, 32)
(1, 0, 64)
(2, 160, 64)
(1, 640, 64)
(1, 0, 96)
(1, 640, 96)
(1, 0, 128)
(2, 96, 128)
(2, 416, 128)
(2, 608, 128)
(1, 640, 128)
(1, 0, 160)
(2, 96, 160)
(2, 256, 160)
(2, 448, 160)
(2, 480, 160)
(1, 640, 160)
(1, 0, 192)
(2, 224, 192)
(1, 640, 192)
(1, 0, 224)
(2, 32, 224)
(2, 96, 224)
(2, 512, 224)
(2, 608, 224)
(1, 640, 224)
(1, 0, 256)
(1, 640, 256)
(1, 0, 288)
(2, 192, 288)
(2, 288, 288)
(2, 352, 288)
(1, 640, 288)
(1, 0, 320)
(2, 256, 320)
(2, 512, 320)
(1, 640, 320)
(1, 0, 352)
(2, 96, 352)
(2, 416, 352)
(1, 640, 352)
(1, 0, 384)
(2, 256, 384)
(2, 288, 384)
(1, 640, 384)
(1, 0, 416)
(2, 224, 416)
(1, 640, 416)
(1, 0, 448)
(2, 320, 448)
(2, 480, 448)
(2, 512, 448)
(1, 640, 448)
(1, 0, 480)
(1, 32, 480)
(1, 64, 480)
(1, 96, 480)
(1, 128, 480)
(1, 160, 480)
(1, 192, 480)
(1, 224, 480)
(1, 256, 480)
(1, 288, 480)
(1, 320, 480)
(1, 352, 480)
(1, 384, 480)
(1, 416, 480)
(1, 448, 480)
(1, 480, 480)
(1, 512, 480)
(1, 544, 480)
(1, 576, 480)
(1, 608, 480)
(1, 640, 480)
